"Code","dist_nearest_school","pred_ntl_antilog","pred_ndvi","geometry"
"C1",331.096768956078,21.2452129760153,0.664337551354105,c(121.1530625, 13.9421875)
"C2",1100.4824081547,6.31182943187149,0.777630395665849,c(121.1445625, 13.9118125)
"C3",250.351012246073,12.5431021262905,0.865816492253949,c(121.1378125, 13.9419375)
"C4",269.536417909545,19.071673401884,0.655290168725533,c(121.1620625, 13.9399375)
"C5",1699.08817850581,3.6592601944791,0.808515159269378,c(121.1519375, 13.8844375)
"C6",0,22.9914123530852,0.638180044985788,c(121.1559352, 13.9411421)
"C7",160.842608210632,20.2594489488176,0.629991574646486,c(121.1539375, 13.9440625)
"C8",1416.520818845,6.39093342115154,0.81009140193951,c(121.1843281, 13.9541375)
"C9",378.078341258453,1.93808043381629,0.917969640722385,c(121.1232656, 13.9117125)
"C10",331.096768956078,21.2452129760153,0.664337551354105,c(121.1530625, 13.9421875)
"C11",439.615342565487,10.6282422266579,0.830083519720088,c(121.1353125, 13.9430625)
"C12",457.355025013398,13.321168307632,0.635925291885811,c(121.1650783, 13.9554547)
"C13",125.454395352236,8.64854112869884,0.683657570940097,c(121.1761875, 13.9638125)
"C14",222.104108287551,17.8062057414837,0.647912568717885,c(121.1624531, 13.9412875)
"C15",305.7167162447,19.9433225016137,0.620565995290904,c(121.1603906, 13.9414375)
"C16",144.765716423865,12.3961683937038,0.809261400368401,c(121.1473125, 13.9403125)
"C17",1260.40602140023,1.64295946594947,0.866535504477335,c(121.2182344, 13.9304375)
"C18",1042.91970567041,5.76943440508981,0.623447262747704,c(121.1570028, 13.9253848)
"C19",337.92143338136,17.5697282677407,0.761075554545738,c(121.1504375, 13.9396875)
"C20",244.763135317061,10.6994007196506,0.70025085524935,c(121.1773125, 13.9974375)
"C21",1426.54493172655,2.58603820824562,0.730557087080735,c(121.1324375, 13.9598125)
"C22",330.793034597019,13.9046091387419,0.75807727597183,c(121.1674282, 13.942446)
"C23",429.732280601188,13.0408548806626,0.781350702072101,c(121.1683731, 13.942339)
"C24",147.604795515398,9.30488809479167,0.717864911151309,c(121.1478281, 13.9457125)
"C25",685.811076072313,10.1016155078664,0.60931454729925,c(121.1690625, 13.9615625)
"C26",345.804116916328,19.6078444663708,0.713461144832285,c(121.1538125, 13.9388125)
"C27",286.341951258054,18.6128053296569,0.6403561455769,c(121.1618125, 13.9410625)
"C28",994.739947005599,7.43251806500403,0.656404222114761,c(121.1683125, 13.9290625)
"C29",38.7359342624704,7.61635129584062,0.61396957792453,c(121.1675625, 13.9751875)
"C30",1232.36324237635,4.04005181093108,0.888045604085276,c(121.1893125, 13.9299375)
"C31",9.62104584568659,16.0969413118311,0.681518607953481,c(121.1644219, 13.9419625)
"C32",689.897753700648,8.37348756014703,0.583758466596273,c(121.1655625, 13.9615625)
"C33",95.1261529712613,8.65646239802398,0.679969734906586,c(121.1759375, 13.9636875)
"C34",283.629572875115,10.991767537049,0.836026068484463,c(121.1450625, 13.9414375)
"C35",1137.76552273819,5.06148025243638,0.660163888458033,c(121.1108281, 13.9402125)
"C36",92.6972005805143,17.2572113170013,0.693890044576713,c(121.1640625, 13.9399375)
"C37",622.713126044118,13.4428540295439,0.591474255351731,c(121.1795625, 14.0035625)
"C38",721.242858812638,2.73177961546425,0.606729535535809,c(121.1941094, 13.8948625)
"C39",124.178646804676,13.1991536633816,0.788952013947703,c(121.1695625, 13.9453125)
"C40",219.129911518956,11.6775191889433,0.819629988466057,c(121.1470625, 13.9396875)
"C41",736.781284376671,4.5136410936435,0.754981692262922,c(121.1397969, 13.9506875)
"C42",81.0178642243996,16.1419404896349,0.714658277729461,c(121.1651094, 13.9403625)
"C43",263.036486433631,10.5686356431047,0.79652483624592,c(121.1356875, 13.9453125)
"C44",300.663830072935,13.3803834385122,0.638159121621393,c(121.1586875, 13.9533125)
"C45",322.237269846313,20.5324289556551,0.664292726125935,c(121.1528125, 13.9424375)
"C46",474.344990558573,18.3669822445844,0.626291883183693,c(121.1568281, 13.9490625)
"C47",1852.88194088484,6.47097022957261,0.852596761249207,c(121.1828281, 13.9142125)
"C48",1316.89390992583,3.87699562972427,0.795048548487559,c(121.1340625, 13.9268125)
"C49",364.993308485371,18.7986952035471,0.718249634615165,c(121.1542656, 13.9382875)
"C50",102.436117811355,13.8303290727353,0.72749792511022,c(121.1579375, 13.9355625)
"C51",487.331172449075,14.7587498248025,0.577885940524412,c(121.1631719, 13.9715625)
"C52",49.6653983266937,12.7399553770783,0.794508620471685,c(121.1474375, 13.9411875)
"C53",216.422145722564,23.0426823449137,0.664389494683314,c(121.1539375, 13.9413125)
"C54",37.4879436941284,14.4035570222413,0.797707471180755,c(121.1502344, 13.9368625)
"C55",458.367002990234,10.8981431502464,0.830755019189192,c(121.1355625, 13.9431875)
"C56",1513.09724472526,7.39906434046335,0.767407268182065,c(121.1119531, 13.9341625)
"C57",230.948026353157,16.2588348426991,0.732555840145416,c(121.1497969, 13.9419125)
"C58",167.337271418893,19.6016966383877,0.639840388140202,c(121.1533125, 13.9438125)
"C59",352.875251906124,9.8867309470369,0.821320999956379,c(121.1344844, 13.9432125)
"C60",439.598114037015,14.2195983077567,0.634801647851194,c(121.1644375, 13.9546875)
"C61",207.644512020045,17.7062788314438,0.633323174941061,c(121.1589375, 13.9503125)
"C62",285.203503243371,14.2021428036415,0.67157753403282,c(121.1508125, 13.9441875)
"C63",49.6653983266937,12.7399553770783,0.794508620471685,c(121.1474375, 13.9411875)
"C64",521.912373712676,10.3601516894152,0.557363743657367,c(121.1659375, 13.9653125)
"C65",856.961854122298,8.91023571147961,0.626779618633036,c(121.1215469, 13.9377875)
"C66",1268.71919584966,8.51821247024475,0.765528488558133,c(121.1860625, 13.9675625)
"C67",1411.42555317187,8.47881206297721,0.776480843308252,c(121.1157656, 13.9333125)
"C68",206.600635027744,15.7666932999358,0.737213215576661,c(121.1495625, 13.9419375)
"C69",358.961466144405,14.2613208535208,0.624151193577209,c(121.1634375, 13.9546875)
"C70",329.203989584916,19.7514862660027,0.614919678180638,c(121.1603594, 13.9418625)
"C71",167.938842010336,18.3150072414116,0.647100303214389,c(121.1526719, 13.9438875)
"C72",1503.05016115716,5.55966227668582,0.628548817485147,c(121.1463594, 13.9603125)
"C73",106.680917271338,15.3692769799667,0.639981481132571,c(121.1524375, 13.9459375)
"C74",202.34985192023,18.1810124656501,0.655985920303349,c(121.1625625, 13.9406875)
"C75",134.276020293292,7.75652667443613,0.773606730214869,c(121.1306875, 13.9455625)
"C76",490.565599528156,16.2915254789228,0.672847848431951,c(121.1650625, 13.9506875)
"C77",165.41807732949,24.3146328461677,0.739848830391343,c(121.1696719, 14.0085875)
"C78",484.272248254074,4.72858362074424,0.795781186540309,c(121.1913125, 13.9050625)
"C79",1813.80771375743,7.02855708788642,0.686453930844732,c(121.1728125, 13.9230625)
"C80",337.150048004208,20.5266201356133,0.667537290879931,c(121.1527344, 13.9423125)
"C81",617.784238399142,6.05859841755592,0.797576738008538,c(121.1442969, 13.9163625)
"C82",345.736867870057,14.0916205304441,0.724903730695923,c(121.1665625, 13.9441875)
"C83",656.354402463529,6.76647538499493,0.643701325556136,c(121.1612344, 13.9635375)
"C84",267.064033284261,19.4678233422017,0.61198923321796,c(121.1554375, 13.9463125)
"C85",155.814060532678,15.3427081919037,0.571117678692393,c(121.1659844, 13.9703625)
"C86",189.366817171494,20.0005642574408,0.614640971142734,c(121.1549375, 13.9454375)
"C87",732.636949776017,9.176741070526,0.634766477487183,c(121.1241875, 13.9401875)
"C88",330.792919578919,14.9405462041402,0.588432198230225,c(121.1623125, 13.9700625)
"C89",381.10984265594,18.0604790107709,0.631370926763395,c(121.1574531, 13.9496875)
"C90",152.229898248791,17.2524952527709,0.702000910074978,c(121.1642031, 13.9393375)
"C91",272.188767725663,12.1389251228623,0.867205604362372,c(121.1393594, 13.9424375)
"C92",380.936442686089,8.870319061442,0.71328440560089,c(121.1678125, 13.9818125)
"C93",271.129304608052,13.1472011510017,0.612872728123913,c(121.1629844, 13.9553625)
"C94",291.354134676753,14.9098234327065,0.671722018159038,c(121.1509219, 13.9438875)
"C95",255.08152116857,23.2060410753141,0.75987089107386,c(121.1688594, 14.0092125)
"C96",662.134649399142,8.48979321587425,0.704831021062702,c(121.1270781, 13.9408375)
"C97",418.615706806517,15.447750556735,0.58015153592956,c(121.1629375, 13.9706875)
"C98",303.344353458345,17.5407713056972,0.700303041564126,c(121.1568125, 13.9375625)
"C99",639.299255844271,8.40268342640453,0.710757835884996,c(121.1273906, 13.9408125)
"C100",77.4775533762965,17.2843313695906,0.688782788797962,c(121.1639375, 13.9401875)
"C101",453.05585134804,18.850984039479,0.610709468510424,c(121.1566875, 13.9475625)
"C102",785.876756553862,7.45721547000854,0.876663341379321,c(121.1783125, 13.9423125)
"C103",324.949957516855,18.0604000636442,0.7252037357103,c(121.1506875, 13.9413125)
"C104",262.990891312987,12.9930005830249,0.56578236507261,c(121.1662969, 13.9676625)
"C105",217.147308592605,7.35976206524528,0.755808335184632,c(121.1320625, 13.9469375)
"C106",229.749852310413,11.2312077410923,0.826956503493256,c(121.1455625, 13.9414375)
"L107",124.981839445249,8.51756412701789,0.674279015257174,c(121.1762966, 13.96300011)
"L108",475.365631993826,8.2862083301066,0.624349803347125,c(121.1214375, 13.9413125)
"L109",360.08985753475,18.8584022839289,0.716990274535072,c(121.1543125, 13.9383125)
"L110",397.261207916529,18.8207464564126,0.616378916549001,c(121.1559375, 13.9476875)
"L111",610.126654896137,9.22179867445138,0.596093107907624,c(121.1658125, 13.9601875)
"L112",275.085093119886,11.0273336285663,0.83429008328194,c(121.1451406, 13.9414625)
"L113",575.344469136709,8.96246590729924,0.590684579325871,c(121.1653125, 13.9603125)
"L114",164.635151221382,21.5089060254436,0.619236467831989,c(121.1590625, 13.9410625)
"L115",360.703859381861,19.6782594969434,0.67801513891055,c(121.1522031, 13.9422125)
"L116",22.6254325017838,8.22779626514345,0.781481420585329,c(121.1318125, 13.9449375)
"L117",111.195101177525,22.3916781355154,0.620270583166358,c(121.1579375, 13.9410625)
"L118",589.171803449873,4.39569595576674,0.690415008988453,c(121.1349375, 13.9523125)
"L119",476.244405752989,8.28034912098335,0.732245553280821,c(121.1788281, 13.9656625)
"L120",795.176665621783,14.4907146792741,0.663910954704656,c(121.1662969, 14.0034625)
"L121",329.203989584916,19.7514862660027,0.614919678180638,c(121.1603594, 13.9418625)
"L122",975.738465239483,7.53016038769276,0.664592558345558,c(121.1199375, 13.9365625)
"L123",161.139954285292,16.0011126479497,0.650119166808063,c(121.1635625, 13.9430625)
"L124",233.360308472442,16.7340379969144,0.739632455143752,c(121.1498489, 13.94150014)
"L125",373.517379060389,20.0148916478303,0.678812431642331,c(121.1523125, 13.9420625)
"L126",79.2972741016652,19.194006902781,0.62692299627632,c(121.1538125, 13.9449375)
"L127",345.804116916328,19.6078444663708,0.713461144832285,c(121.1538125, 13.9388125)
"L128",537.058560916158,14.1455540239444,0.648890126076967,c(121.1654375, 13.9545625)
"L129",805.497799001525,6.2017246211118,0.702537588310462,c(121.1616406, 13.9795125)
"D130",159.177873165979,12.6495489437441,0.807375610403724,c(121.1475469, 13.9401375)
"D131",115.695189030332,14.5950631987235,0.770200922201961,c(121.1486875, 13.9411875)
"D132",49.5854362984733,12.7986479449227,0.794007554287406,c(121.1474844, 13.9411625)
"D133",397.853963003126,10.4389879081297,0.823647944514668,c(121.1350625, 13.9434375)
"D134",125.819753914475,12.7936703929659,0.803329707873777,c(121.1475625, 13.9404375)
"D135",262.475950681187,19.0730349018656,0.664463312243934,c(121.1623281, 13.9395125)
"D136",251.965549885935,21.453798790984,0.619045520169831,c(121.1549375, 13.9438125)
"D137",125.819753914475,12.7936703929659,0.803329707873777,c(121.1475625, 13.9404375)
"D138",313.315040853126,9.45298618740136,0.734839330289461,c(121.1694531, 13.9828625)
"D139",296.833030469613,17.4262750684825,0.766976685839712,c(121.1504375, 13.9393125)
"D140",93.3923507394055,13.929339137801,0.782921489258593,c(121.1482656, 13.9409375)
"D141",262.475950681187,19.0730349018656,0.664463312243934,c(121.1623281, 13.9395125)
"D142",219.129911518956,11.6775191889433,0.819629988466057,c(121.1470625, 13.9396875)
"D143",925.972833703085,2.9548623002192,0.715434290866859,c(121.1375625, 13.9546875)
"D144",324.950830988692,19.0737303432093,0.636938178117187,c(121.1614375, 13.9409375)
"D145",250.172989939941,22.1012294495424,0.626161836252886,c(121.1548125, 13.9431875)
"D146",208.759808629281,20.1393401078552,0.595110345467861,c(121.1579844, 13.9441125)
"D147",219.129911519129,13.7134215657891,0.80099684542924,c(121.1483125, 13.9396875)
"D148",306.426711786893,10.8088130609737,0.843836125419873,c(121.1448906, 13.9410875)
"D149",244.102795738424,16.206295464427,0.769429002341326,c(121.1495469, 13.9403125)
"D150",98.617697268502,15.8626834307482,0.712081893829724,c(121.1652656, 13.9410625)
"D151",9.62104584568659,16.0969413118311,0.681518607953481,c(121.1644219, 13.9419625)
"D152",1084.51526123946,16.7348446737421,0.621127012083931,c(121.1654375, 14.0008125)
"D153",1110.48914474253,13.0336550042932,0.698315506643217,c(121.1647969, 13.9947625)
"R154",1165.65065214403,7.01188407710256,0.730671230966821,c(121.1178125, 13.9350625)
"R155",385.243755074529,16.6558534137791,0.615944488701331,c(121.1616719, 13.9440875)
"R156",566.861355644587,5.17827257245325,0.835991661873642,c(121.1399844, 13.9349625)
"R157",416.231086465293,15.2217845953157,0.630787486814976,c(121.1633125, 13.9539375)
"R158",188.856076919852,13.7486021353348,0.654888123303323,c(121.1514375, 13.9453125)
"R159",222.881037454388,19.7937806723113,0.612773260246104,c(121.1551875, 13.9458125)
"R160",310.653705930711,16.701225951922,0.709670671615795,c(121.1504531, 13.9423375)
"R161",362.282930585862,9.65186464473928,0.822586564426221,c(121.1343125, 13.9428125)
"R162",321.861838732911,14.0286454320155,0.619670531446695,c(121.1630625, 13.9548125)
"R163",229.749728336955,16.5485229268626,0.736685650511698,c(121.1498125, 13.9416875)
"R164",317.193384704502,19.8276916551693,0.619348168935649,c(121.1604375, 13.9415625)
"R165",417.199713905362,7.74856024546115,0.672544944461552,c(121.1676875, 13.9791875)
"R166",291.608013776509,22.7419209833957,0.764900388124574,c(121.1685625, 14.0094375)
"R167",500.692704804778,11.7479481725443,0.630795038747602,c(121.1658125, 13.9570625)
"R168",371.256994637274,14.6040497188513,0.625704065149826,c(121.1633125, 13.9544375)
"R169",730.439479603745,9.13476239175221,0.638938720573628,c(121.1243125, 13.9403125)
"R170",446.101966163163,8.28031151763267,0.837993006885003,c(121.1738906, 13.9482375)
"R171",234.49364133593,16.0040373125389,0.771738002761456,c(121.1494375, 13.9403125)
"R172",61.9890848043692,16.1312374300909,0.668966367147694,c(121.1640625, 13.9423125)
"R173",80.9297171951568,14.850988533433,0.574429709994791,c(121.1665625, 13.9698125)
"R174",97.1257223987556,7.4106894285407,0.740264265999959,c(121.1338906, 13.9479375)
"R175",414.287471553339,7.71331844198289,0.67261418694454,c(121.1677344, 13.9791625)
"R176",507.373371652822,12.0589214820675,0.635272752076333,c(121.1658594, 13.9566875)
"R177",441.219032372195,11.0461165536805,0.828496002415648,c(121.1356875, 13.9434375)
