longitude,latitude,NDVI,NDVI_rescaled,red_reflectance,NIR_reflectance,NDVI_calculated
121.1779569,14.02708333,6954,0.6954,779,4336,0.69540567
121.1822517,14.02708333,7214,0.7214,735,4542,0.721432632
121.1800504,14.02291667,6562,0.6562,1059,5102,0.656224639
121.184345,14.02291667,6882,0.6882,859,4651,0.688203267
121.1778498,14.01875,5722,0.5722,954,3507,0.572293208
121.1821444,14.01875,5485,0.5485,1055,3619,0.548566538
121.186439,14.01875,7701,0.7701,486,3743,0.77015843
121.1756499,14.01458333,5267,0.5267,920,2968,0.526748971
121.1799444,14.01458333,5156,0.5156,1130,3536,0.515645092
121.1842389,14.01458333,6068,0.6068,808,3302,0.606812652
121.1885334,14.01458333,6527,0.6527,636,3027,0.652743653
121.1691564,14.01041667,9374,0.9374,90,2787,0.937434828
121.1734508,14.01041667,5631,0.5631,827,2959,0.563127311
121.1777452,14.01041667,4977,0.4977,1010,3012,0.497762307
121.1820396,14.01041667,7489,0.7489,567,3950,0.748948417
121.1863341,14.01041667,8202,0.8202,419,4244,0.820287369
121.1906285,14.01041667,8564,0.8564,352,4552,0.856443719
121.1669581,14.00625,7603,0.7603,433,3180,0.760309992
121.1712524,14.00625,8264,0.8264,311,3274,0.826499303
121.1755467,14.00625,4234,0.4234,1424,3516,0.423481781
121.1798411,14.00625,3504,0.3504,1673,3478,0.350417395
121.1841354,14.00625,7994,0.7994,438,3930,0.799450549
121.1884298,14.00625,6975,0.6975,732,4109,0.697583144
121.1927241,14.00625,7957,0.7957,512,4501,0.795731099
121.1604662,14.00208333,5748,0.5748,875,3241,0.574829932
121.1647604,14.00208333,5258,0.5258,950,3057,0.525829798
121.1690547,14.00208333,7448,0.7448,678,4636,0.744824991
121.173349,14.00208333,4667,0.4667,1389,3821,0.466794626
121.1776432,14.00208333,4918,0.4918,1159,3403,0.491889522
121.1819375,14.00208333,7771,0.7771,508,4051,0.777144111
121.1862318,14.00208333,7247,0.7247,621,3892,0.724795037
121.190526,14.00208333,7541,0.7541,575,4102,0.754115886
121.1948203,14.00208333,7757,0.7757,543,4299,0.775712515
121.1410926,13.99791667,8540,0.854,279,3544,0.854041329
121.1453868,13.99791667,8766,0.8766,246,3743,0.876660817
121.1539752,13.99791667,8171,0.8171,414,4114,0.817137809
121.1582694,13.99791667,5599,0.5599,912,3233,0.559951749
121.1625635,13.99791667,5383,0.5383,872,2906,0.538380095
121.1668577,13.99791667,5775,0.5775,858,3204,0.577548006
121.1711519,13.99791667,7440,0.744,534,3639,0.744069015
121.1754461,13.99791667,7226,0.7226,573,3559,0.722652469
121.1797403,13.99791667,7665,0.7665,474,3587,0.766559961
121.1840345,13.99791667,7431,0.7431,590,4005,0.743199129
121.1883286,13.99791667,7758,0.7758,565,4477,0.775882586
121.1926228,13.99791667,8055,0.8055,486,4512,0.805522209
121.196917,13.99791667,8468,0.8468,348,4198,0.846898372
121.1346027,13.99375,9061,0.9061,202,4104,0.906177427
121.1388968,13.99375,8219,0.8219,344,3521,0.821992238
121.1431909,13.99375,8864,0.8864,249,4136,0.886431015
121.1517792,13.99375,8125,0.8125,398,3849,0.812573581
121.1560733,13.99375,8084,0.8084,424,4003,0.808448159
121.1603674,13.99375,8512,0.8512,346,4306,0.851246776
121.1646615,13.99375,7539,0.7539,540,3850,0.753986333
121.1689556,13.99375,6543,0.6543,755,3614,0.654383154
121.1732497,13.99375,6919,0.6919,671,3685,0.691919192
121.1775438,13.99375,7472,0.7472,559,3864,0.747230387
121.1818379,13.99375,7186,0.7186,665,4062,0.718637614
121.186132,13.99375,7935,0.7935,498,4327,0.79357513
121.1904261,13.99375,7522,0.7522,595,4208,0.752238184
121.1947202,13.99375,8347,0.8347,401,4451,0.834707337
121.1990143,13.99375,8180,0.818,420,4196,0.818024263
121.1324077,13.98958333,9177,0.9177,183,4265,0.917715827
121.1367018,13.98958333,6753,0.6753,777,4010,0.675370796
121.1409958,13.98958333,8504,0.8504,321,3973,0.850489054
121.1452898,13.98958333,8511,0.8511,312,3880,0.851145038
121.1495839,13.98958333,8784,0.8784,255,3940,0.878426698
121.1538779,13.98958333,8633,0.8633,329,4486,0.863343718
121.1581719,13.98958333,8198,0.8198,317,3202,0.81983518
121.1624659,13.98958333,7131,0.7131,561,3351,0.713190184
121.16676,13.98958333,8470,0.847,320,3865,0.847072879
121.171054,13.98958333,7676,0.7676,476,3621,0.767634855
121.175348,13.98958333,7677,0.7677,500,3806,0.767765908
121.1796421,13.98958333,8114,0.8114,425,4084,0.811488135
121.1839361,13.98958333,7666,0.7666,551,4172,0.766673724
121.1882301,13.98958333,7642,0.7642,527,3943,0.764205817
121.1925241,13.98958333,8177,0.8177,412,4109,0.817739438
121.1968182,13.98958333,8003,0.8003,460,4147,0.800303885
121.2011122,13.98958333,8201,0.8201,437,4422,0.820127598
121.2397585,13.98958333,9329,0.9329,155,4468,0.932943976
121.1302135,13.98541667,9168,0.9168,182,4196,0.916857012
121.1345074,13.98541667,8750,0.875,289,4337,0.875054042
121.1388014,13.98541667,8430,0.843,397,4662,0.843051987
121.1430953,13.98541667,7689,0.7689,455,3483,0.768918233
121.1473893,13.98541667,7997,0.7997,406,3648,0.799703996
121.1516832,13.98541667,7903,0.7903,397,3390,0.790335358
121.1559772,13.98541667,5996,0.5996,1290,5154,0.599627561
121.1602711,13.98541667,9081,0.9081,75,1558,0.908144519
121.1645651,13.98541667,8459,0.8459,261,3127,0.8459268
121.168859,13.98541667,6601,0.6601,633,3092,0.660134228
121.173153,13.98541667,8069,0.8069,377,3528,0.806914213
121.1774469,13.98541667,7933,0.7933,439,3810,0.793363144
121.1817409,13.98541667,7083,0.7083,631,3696,0.708342963
121.1860348,13.98541667,6187,0.6187,749,3180,0.618732502
121.1903288,13.98541667,8015,0.8015,476,4321,0.801542631
121.1946227,13.98541667,8083,0.8083,457,4311,0.808305369
121.1989167,13.98541667,8201,0.8201,437,4422,0.820127598
121.2032106,13.98541667,7697,0.7697,469,3605,0.76975945
121.2075046,13.98541667,7760,0.776,511,4053,0.77607362
121.2332683,13.98541667,9351,0.9351,168,5014,0.93516017
121.2375622,13.98541667,9300,0.93,185,5101,0.930003784
121.2418562,13.98541667,9436,0.9436,106,3658,0.943676939
121.2461501,13.98541667,3897,0.3897,862,1963,0.389734513
121.123726,13.98125,9731,0.9731,31,2278,0.973148549
121.1280199,13.98125,8903,0.8903,236,4070,0.890385509
121.1323138,13.98125,8358,0.8358,395,4418,0.835861209
121.1366077,13.98125,7773,0.7773,521,4158,0.777302842
121.1409015,13.98125,8226,0.8226,466,4790,0.822678843
121.1451954,13.98125,9427,0.9427,57,1936,0.942799799
121.1494893,13.98125,8718,0.8718,104,1519,0.871842267
121.1537832,13.98125,9117,0.9117,199,4312,0.911771226
121.158077,13.98125,7686,0.7686,244,1865,0.768610716
121.1623709,13.98125,8547,0.8547,117,1494,0.854748603
121.1666648,13.98125,6446,0.6446,594,2749,0.644630571
121.1709587,13.98125,7926,0.7926,544,4703,0.792643415
121.1752525,13.98125,7208,0.7208,817,5036,0.720826926
121.1795464,13.98125,7075,0.7075,758,4425,0.707505306
121.1838403,13.98125,6414,0.6414,750,3433,0.64140569
121.1881341,13.98125,7665,0.7665,468,3541,0.766525318
121.192428,13.98125,8636,0.8636,335,4579,0.863654864
121.1967219,13.98125,7966,0.7966,479,4231,0.796602972
121.2010158,13.98125,7323,0.7323,594,3844,0.732311852
121.2053096,13.98125,7252,0.7252,630,3956,0.725250763
121.2096035,13.98125,8421,0.8421,380,4435,0.842159917
121.2138974,13.98125,8515,0.8515,346,4317,0.851597684
121.2181913,13.98125,8766,0.8766,292,4441,0.876611029
121.2224851,13.98125,9374,0.9374,152,4705,0.937409924
121.226779,13.98125,9409,0.9409,146,4802,0.940986257
121.2310729,13.98125,9478,0.9478,112,4185,0.947870607
121.2353668,13.98125,9405,0.9405,137,4470,0.940525288
121.2396606,13.98125,9363,0.9363,162,4928,0.936345776
121.2439545,13.98125,8959,0.8959,239,4353,0.895905923
121.2482484,13.98125,8752,0.8752,264,3970,0.875295229
121.1215333,13.97708333,9211,0.9211,178,4339,0.921186628
121.1258271,13.97708333,7427,0.7427,509,3448,0.742734395
121.1301209,13.97708333,8945,0.8945,240,4314,0.894598155
121.1344147,13.97708333,7753,0.7753,546,4314,0.775308642
121.1387085,13.97708333,7624,0.7624,570,4228,0.762401
121.1430023,13.97708333,5871,0.5871,1064,4091,0.587196896
121.1472961,13.97708333,7343,0.7343,624,4074,0.734355045
121.1515899,13.97708333,8183,0.8183,404,4043,0.818304475
121.1558837,13.97708333,7896,0.7896,480,4084,0.789658195
121.1601775,13.97708333,5361,0.5361,984,3259,0.536177233
121.1644713,13.97708333,5293,0.5293,963,3129,0.529325513
121.168765,13.97708333,6051,0.6051,769,3126,0.605134788
121.1730588,13.97708333,8227,0.8227,435,4472,0.822702262
121.1773526,13.97708333,8304,0.8304,402,4340,0.830451286
121.1816464,13.97708333,7045,0.7045,626,3612,0.704577631
121.1859402,13.97708333,7808,0.7808,506,4111,0.78081005
121.190234,13.97708333,7321,0.7321,660,4269,0.7321972
121.1945278,13.97708333,7294,0.7294,678,4334,0.729449322
121.1988216,13.97708333,5620,0.562,822,2932,0.562067128
121.2031154,13.97708333,7936,0.7936,472,4103,0.793661202
121.2074092,13.97708333,8470,0.847,391,4723,0.847086429
121.211703,13.97708333,8820,0.882,283,4516,0.882058762
121.2159968,13.97708333,8790,0.879,279,4334,0.879037503
121.2202906,13.97708333,8779,0.8779,304,4677,0.877936157
121.2245844,13.97708333,9409,0.9409,146,4802,0.940986257
121.2288782,13.97708333,9479,0.9479,119,4452,0.947932619
121.233172,13.97708333,9405,0.9405,137,4470,0.940525288
121.2374658,13.97708333,9342,0.9342,171,5033,0.934281322
121.2417596,13.97708333,9261,0.9261,184,4798,0.926134083
121.2460534,13.97708333,9290,0.929,173,4701,0.929011079
121.123635,13.97291667,6917,0.6917,812,4456,0.691723614
121.1279287,13.97291667,5153,0.5153,1685,5269,0.515386828
121.1322224,13.97291667,9476,0.9476,133,4951,0.947678993
121.1365161,13.97291667,8743,0.8743,300,4475,0.87434555
121.1408099,13.97291667,7893,0.7893,442,3755,0.789373362
121.1451036,13.97291667,6902,0.6902,655,3574,0.690234098
121.1493973,13.97291667,7809,0.7809,480,3902,0.780921953
121.153691,13.97291667,8254,0.8254,384,4016,0.825454545
121.1579847,13.97291667,6136,0.6136,918,3834,0.613636364
121.1622784,13.97291667,5720,0.572,918,3372,0.572027972
121.1665722,13.97291667,5155,0.5155,975,3050,0.51552795
121.1708659,13.97291667,6802,0.6802,636,3342,0.680241327
121.1751596,13.97291667,7273,0.7273,589,3731,0.727314815
121.1794533,13.97291667,8019,0.8019,454,4131,0.801962923
121.183747,13.97291667,6762,0.6762,868,4494,0.676240209
121.1880408,13.97291667,7862,0.7862,533,4454,0.786244235
121.1923345,13.97291667,7541,0.7541,484,3454,0.754189944
121.1966282,13.97291667,5620,0.562,822,2932,0.562067128
121.2009219,13.97291667,6958,0.6958,713,3975,0.695819113
121.2052156,13.97291667,6887,0.6887,647,3510,0.688717825
121.2095093,13.97291667,8053,0.8053,440,4080,0.805309735
121.2138031,13.97291667,8495,0.8495,342,4203,0.84950495
121.2180968,13.97291667,8954,0.8954,254,4607,0.895494754
121.2223905,13.97291667,9135,0.9135,193,4270,0.913511091
121.2266842,13.97291667,9339,0.9339,156,4566,0.933926302
121.2309779,13.97291667,9355,0.9355,170,5102,0.935508346
121.2352716,13.97291667,9353,0.9353,175,5240,0.935364728
121.2395654,13.97291667,9342,0.9342,171,5033,0.934281322
121.2438591,13.97291667,9290,0.929,173,4701,0.929011079
121.1257372,13.96875,7527,0.7527,607,4304,0.752799837
121.1300309,13.96875,8840,0.884,295,4795,0.884086444
121.1343245,13.96875,6875,0.6875,776,4191,0.687537749
121.1386182,13.96875,6357,0.6357,855,3840,0.635782748
121.1429118,13.96875,7320,0.732,608,3931,0.732099581
121.1472054,13.96875,7770,0.777,490,3905,0.77701934
121.1514991,13.96875,7657,0.7657,497,3746,0.765731794
121.1557927,13.96875,6207,0.6207,797,3406,0.620747085
121.1600864,13.96875,6272,0.6272,775,3383,0.627224627
121.16438,13.96875,5155,0.5155,975,3050,0.51552795
121.1686736,13.96875,6112,0.6112,780,3233,0.611263394
121.1729673,13.96875,7372,0.7372,561,3710,0.737298057
121.1772609,13.96875,8559,0.8559,332,4278,0.855965293
121.1815546,13.96875,6810,0.681,619,3263,0.681092221
121.1858482,13.96875,8243,0.8243,405,4206,0.824333116
121.1901418,13.96875,7600,0.76,571,4189,0.760084034
121.1944355,13.96875,7216,0.7216,685,4237,0.721657863
121.1987291,13.96875,6140,0.614,881,3684,0.614019715
121.2030228,13.96875,6524,0.6524,779,3704,0.652464867
121.2073164,13.96875,7812,0.7812,487,3966,0.781271053
121.21161,13.96875,8188,0.8188,424,4258,0.81888082
121.2159037,13.96875,9072,0.9072,226,4646,0.907224959
121.2201973,13.96875,9170,0.917,187,4324,0.917091554
121.224491,13.96875,9188,0.9188,171,4045,0.918880455
121.2287846,13.96875,9251,0.9251,172,4422,0.925119721
121.2330782,13.96875,9439,0.9439,122,4231,0.943946703
121.2373719,13.96875,9459,0.9459,117,4215,0.94598338
121.2416655,13.96875,9353,0.9353,145,4344,0.935397639
121.2459592,13.96875,9373,0.9373,162,5010,0.937354988
121.1278401,13.96458333,8331,0.8331,373,4099,0.833184258
121.1321336,13.96458333,6875,0.6875,776,4191,0.687537749
121.1364272,13.96458333,7780,0.778,492,3942,0.778078484
121.1407207,13.96458333,7541,0.7541,476,3396,0.754132231
121.1450143,13.96458333,7017,0.7017,641,3657,0.701721731
121.1493079,13.96458333,5778,0.5778,922,3446,0.577838828
121.1536014,13.96458333,7658,0.7658,524,3952,0.765862377
121.157895,13.96458333,7282,0.7282,647,4114,0.72820836
121.1621886,13.96458333,7107,0.7107,600,3549,0.71077368
121.1664821,13.96458333,4593,0.4593,1011,2729,0.459358289
121.1707757,13.96458333,4317,0.4317,1166,2938,0.431773879
121.1750692,13.96458333,7045,0.7045,605,3491,0.704589844
121.1793628,13.96458333,7457,0.7457,421,2891,0.745772947
121.1836564,13.96458333,8969,0.8969,171,3149,0.896987952
121.1879499,13.96458333,7201,0.7201,648,3983,0.720146837
121.1922435,13.96458333,7612,0.7612,612,4515,0.761263897
121.1965371,13.96458333,7060,0.706,731,4242,0.706012467
121.2008306,13.96458333,5804,0.5804,925,3484,0.58040372
121.2051242,13.96458333,8044,0.8044,465,4291,0.804457527
121.2094177,13.96458333,8397,0.8397,364,4179,0.839753467
121.2137113,13.96458333,8381,0.8381,364,4135,0.838186264
121.2180049,13.96458333,8917,0.8917,270,4718,0.891740176
121.2222984,13.96458333,9146,0.9146,216,4844,0.914624506
121.226592,13.96458333,9197,0.9197,201,4808,0.91974446
121.2308856,13.96458333,9440,0.944,153,5316,0.944048272
121.2351791,13.96458333,9394,0.9394,160,5123,0.939428355
121.2394727,13.96458333,9407,0.9407,152,4981,0.940775375
121.2437662,13.96458333,9376,0.9376,142,4413,0.937650933
121.0784216,13.96041667,6924,0.6924,373,2053,0.692497939
121.0827151,13.96041667,6454,0.6454,395,1833,0.645421903
121.1041825,13.96041667,8662,0.8662,175,2442,0.866259075
121.1256499,13.96041667,7803,0.7803,501,4060,0.780311335
121.1299434,13.96041667,7807,0.7807,535,4346,0.780782627
121.1342369,13.96041667,6838,0.6838,641,3414,0.683847102
121.1385304,13.96041667,7975,0.7975,486,4315,0.797542179
121.1428239,13.96041667,6518,0.6518,924,4384,0.65184627
121.1471174,13.96041667,5904,0.5904,885,3437,0.590467376
121.1514109,13.96041667,5918,0.5918,842,3284,0.59185652
121.1557043,13.96041667,6866,0.6866,657,3536,0.686620558
121.1599978,13.96041667,6987,0.6987,649,3660,0.698770016
121.1642913,13.96041667,5099,0.5099,969,2986,0.509987358
121.1685848,13.96041667,6522,0.6522,719,3416,0.652237001
121.1728783,13.96041667,7494,0.7494,544,3799,0.749481925
121.1771718,13.96041667,4910,0.491,1384,4055,0.49108292
121.1814653,13.96041667,6349,0.6349,907,4062,0.634936607
121.1857587,13.96041667,4226,0.4226,1964,4839,0.422607673
121.1900522,13.96041667,6773,0.6773,717,3728,0.677390326
121.1943457,13.96041667,7599,0.7599,577,4231,0.759983361
121.1986392,13.96041667,6000,0.6,878,3513,0.600091095
121.2029327,13.96041667,7765,0.7765,525,4175,0.776595745
121.2072262,13.96041667,8427,0.8427,378,4431,0.84279476
121.2115196,13.96041667,6371,0.6371,760,3429,0.637144903
121.2158131,13.96041667,8349,0.8349,389,4324,0.834924676
121.2201066,13.96041667,9000,0.9,247,4694,0.900020239
121.2244001,13.96041667,9248,0.9248,186,4764,0.924848485
121.2286936,13.96041667,9319,0.9319,177,5028,0.931988473
121.2329871,13.96041667,9440,0.944,153,5316,0.944048272
121.2372806,13.96041667,9407,0.9407,152,4981,0.940775375
121.241574,13.96041667,9396,0.9396,174,5588,0.939604304
121.0762331,13.95625,7935,0.7935,518,4500,0.793543244
121.0805265,13.95625,8009,0.8009,434,3926,0.800917431
121.0848199,13.95625,8310,0.831,413,4476,0.831049294
121.0891133,13.95625,8553,0.8553,340,4360,0.855319149
121.0934067,13.95625,8615,0.8615,352,4732,0.861526357
121.0977001,13.95625,3194,0.3194,2066,4006,0.319499341
121.1019935,13.95625,3462,0.3462,1731,3565,0.346299094
121.1062869,13.95625,7292,0.7292,445,2842,0.729236386
121.127754,13.95625,7543,0.7543,606,4328,0.754357519
121.1320474,13.95625,7290,0.729,594,3791,0.729076397
121.1363408,13.95625,6397,0.6397,667,3036,0.639751553
121.1406342,13.95625,7931,0.7931,240,2081,0.793192589
121.1449276,13.95625,6637,0.6637,683,3379,0.663712457
121.149221,13.95625,3740,0.374,1195,2623,0.37401781
121.1535144,13.95625,4734,0.4734,1027,2874,0.473468341
121.1578078,13.95625,6613,0.6613,690,3385,0.661349693
121.1621012,13.95625,5099,0.5099,969,2986,0.509987358
